PhotoID,Species,Area,PctCov,Count
CA1968_120_03,Polymastia invaginata,0.041,0.757,17
CA1968_120_03,Rossella podagrosa,2.544,47.001,NA
CA1968_120_03,Staghorn,0.032,0.591,1
CA1968_120_04,Basketball,0.027,0.841,5
CA1968_120_04,Bryozoa,0.03,0.934,NA
CA1968_120_04,Dendrilla antarctica,0.095,2.958,2
CA1968_120_04,Finger,0.072,2.242,8
CA1968_120_04,Leucascus leptoraphis,0.02,0.623,1
CA1968_120_04,Polymastia invaginata,0.025,0.778,13
CA1968_120_04,Rossella podagrosa,1.895,58.996,NA
CA1968_120_04,Spikey,0.009,0.28,3
CA1968_120_04,Staghorn,0.016,0.498,3
CA1968_120_05,Basketball,0.133,2.598,8
CA1968_120_05,Bryozoa,0.072,1.406,NA
CA1968_120_05,Dendrilla antarctica,0.079,1.543,2
CA1968_120_05,Finger,0.157,3.067,13
CA1968_120_05,Leucascus leptoraphis,0.031,0.606,1
CA1968_120_05,Polymastia invaginata,0.044,0.859,17
CA1968_120_05,Rossella podagrosa,2.099,41.001,NA
CA1968_120_05,Spikey,0.051,0.996,1
CA1968_120_06,Basketball,0.032,0.881,15
CA1968_120_06,Finger,0.017,0.468,6
CA1968_120_06,Polymastia invaginata,0.012,0.33,4
CA1968_120_06,Rossella podagrosa,2.143,58.994,NA
CA1968_120_06,Spikey,0.005,0.138,2
CA1968_120_07,Basketball,0.13,3.356,6
CA1968_120_07,Dendrilla antarctica,0.006,0.155,1
CA1968_120_07,Finger,0.026,0.671,9
CA1968_120_07,Rossella podagrosa,1.394,35.992,NA
CA1968_120_07,Spikey,0.006,0.155,2
CA1968_120_07,Staghorn,0.118,3.047,1
CA1968_120_08,Basketball,0.552,12.828,28
CA1968_120_08,Finger,0.039,0.906,24
CA1968_120_08,Polymastia invaginata,0.06,1.394,8
CA1968_120_08,Rossella podagrosa,1.205,28.004,NA
CA1968_120_08,Sphaerotylus antarcticus,0.067,1.557,1
CA1968_120_08,Spikey,0.03,0.697,12
CA1968_120_09,Basketball,0.061,1.378,2
CA1968_120_09,Finger,0.012,0.271,11
CA1968_120_09,Leucascus leptoraphis,0.003,0.068,1
CA1968_120_09,Polymastia invaginata,0.006,0.136,5
CA1968_120_09,Rossella podagrosa,0.974,22,NA
CA1968_120_09,Staghorn,0.388,8.764,3
CA1968_120_10,Basketball,0.057,1.207,3
CA1968_120_10,Finger,0.133,2.817,29
CA1968_120_10,Leucascus leptoraphis,0.006,0.127,1
CA1968_120_10,Polymastia invaginata,0.025,0.529,5
CA1968_120_10,Rossella podagrosa,3.258,68.998,NA
CA1968_120_10,Spikey,0.013,0.275,1
CA1968_120_10,Volcano,0.127,2.69,1
CA1968_130_01,Basketball,0.018,0.598,1
CA1968_130_01,Bryozoa,0.171,5.684,NA
CA1968_130_01,Dendrilla antarctica,0.031,1.03,1
CA1968_130_01,Finger,0.07,2.327,12
CA1968_130_01,Rossella podagrosa,0.88,29.249,NA
CA1968_130_01,Spikey,0.004,0.133,2
CA1968_130_01,Staghorn,0.092,3.058,1
CA1968_130_02,Basketball,0.04,0.811,5
CA1968_130_02,Bryozoa,0.113,2.292,NA
CA1968_130_02,Dendrilla antarctica,0.043,0.872,1
CA1968_130_02,Finger,0.003,0.061,3
CA1968_130_02,Polymastia invaginata,0.03,0.609,8
CA1968_130_02,Rossella podagrosa,3.5,70.992,NA
CA1968_130_02,Spikey,0.001,0.02,3
CA1968_130_02,Volcano,0.13,2.637,1
CA1968_130_03,Basketball,0.012,0.313,1
CA1968_130_03,Bryozoa,0.103,2.683,NA
CA1968_130_03,Dendrilla antarctica,0.38,9.899,4
CA1968_130_03,Finger,0.258,6.721,45
CA1968_130_03,Leucascus leptoraphis,0.043,1.12,3
CA1968_130_03,Rossella podagrosa,2.534,66.008,NA
CA1968_130_03,Spikey,0.037,0.964,3
CA1968_130_04,Basketball,0.076,1.791,21
CA1968_130_04,Bryozoa,0.891,21.003,NA
CA1968_130_04,Finger,0.004,0.094,5
CA1968_130_04,Leucascus leptoraphis,0.039,0.919,2
CA1968_130_04,Rossella podagrosa,0.038,0.896,NA
CA1968_130_04,Spikey,0.068,1.603,14
CA1968_130_05,Basketball,0.15,2.496,11
CA1968_130_05,Dendrilla antarctica,0.156,2.596,1
CA1968_130_05,Finger,0.022,0.366,7
CA1968_130_05,Isodictya erinacea,0.025,0.416,1
CA1968_130_05,Leucascus leptoraphis,0.013,0.216,2
CA1968_130_05,Rossella podagrosa,3.666,61.004,NA
CA1968_130_05,Spikey,0.166,2.762,15
CA1968_130_06,Basketball,0.079,1.343,7
CA1968_130_06,Bryozoa,0.447,7.599,NA
CA1968_130_06,Dendrilla antarctica,0.009,0.153,1
CA1968_130_06,Finger,0.148,2.516,23
CA1968_130_06,Leucascus leptoraphis,0.009,0.153,1
CA1968_130_06,Polymastia invaginata,0.003,0.051,3
CA1968_130_06,Rossella podagrosa,2.176,36.994,NA
CA1968_130_06,Spikey,0.027,0.459,3
CA1968_130_06,Volcano,0.079,1.343,1
CA1968_130_07,Basketball,0.029,0.572,4
CA1968_130_07,Finger,0.021,0.414,9
CA1968_130_07,Leucascus leptoraphis,0.047,0.926,2
CA1968_130_07,Polymastia invaginata,0.016,0.315,5
CA1968_130_07,Rossella podagrosa,2.182,43.008,NA
CA1968_130_07,Spikey,0.005,0.099,5
CA1968_130_07,Volcano,0.376,7.411,2
CA1968_130_08,Basketball,0.024,0.507,3
CA1968_130_08,Dendrilla antarctica,0.013,0.274,1
CA1968_130_08,Finger,0.07,1.478,19
CA1968_130_08,Isodictya erinacea,0.003,0.063,1
CA1968_130_08,Leucascus leptoraphis,0.005,0.106,2
CA1968_130_08,Polymastia invaginata,0.003,0.063,3
CA1968_130_08,Rossella podagrosa,2.416,51.001,NA
CA1968_130_08,Spikey,0.013,0.274,4
CA1968_130_08,Volcano,0.33,6.966,2
CA1968_130_09,Basketball,0.007,0.194,2
CA1968_130_09,Finger,0.006,0.166,5
CA1968_130_09,Leucascus leptoraphis,0.013,0.36,2
CA1968_130_09,Polymastia invaginata,0.022,0.609,5
CA1968_130_09,Rossella podagrosa,1.914,53.005,NA
CA1968_130_09,Staghorn,0.185,5.123,1
CA1968_130_10,Basketball,0.046,1.65,6
CA1968_130_10,Dendrilla antarctica,0.067,2.403,1
CA1968_130_10,Finger,0.117,4.196,5
CA1968_130_10,Isodictya erinacea,0.059,2.116,3
CA1968_130_10,Polymastia invaginata,0.03,1.076,5
CA1968_130_10,Rossella podagrosa,0.502,18.002,NA
CA1968_130_10,Staghorn,0.27,9.682,1
CA1968_130_11,Basketball,0.042,1.674,4
CA1968_130_11,Finger,0.007,0.279,2
CA1968_130_11,Isodictya erinacea,0.003,0.12,2
CA1968_130_11,Leucascus leptoraphis,0.026,1.036,2
CA1968_130_11,Polymastia invaginata,0.07,2.789,15
CA1968_130_11,Rossella podagrosa,2.234,89.015,NA
CA1968_130_11,Spikey,0.033,1.315,2
CA1968_130_12,Basketball,0.036,1.898,1
CA1968_130_12,Bryozoa,0.102,5.376,NA
CA1968_130_12,Finger,0.02,1.054,3
CA1968_130_12,Leucascus leptoraphis,0.006,0.316,2
CA1968_130_12,Polymastia invaginata,0.012,0.633,5
CA1968_130_12,Rossella podagrosa,1.195,62.988,NA
CA1968_130_12,Spikey,0.032,1.687,2
CA1968_130_13,Basketball,0.092,4.326,1
CA1968_130_13,Bryozoa,0.05,2.351,NA
CA1968_130_13,Finger,0.046,2.163,13
CA1968_130_13,Polymastia invaginata,0.011,0.517,4
CA1968_130_13,Rossella podagrosa,0.723,33.993,NA
CA1968_130_13,Spikey,0.046,2.163,2
CA1968_130_14,Basketball,0.014,0.839,2
CA1968_130_14,Bryozoa,0.113,6.77,NA
CA1968_130_14,Finger,0.034,2.037,8
CA1968_130_14,Polymastia invaginata,0.02,1.198,10
CA1968_130_14,Rossella podagrosa,1.352,80.997,NA
CA1968_130_14,Volcano,0.129,7.728,1
CA1968_130_15,Basketball,0.017,0.941,2
CA1968_130_15,Bryozoa,0.346,19.147,NA
CA1968_130_15,Dendrilla antarctica,0.006,0.332,1
CA1968_130_15,Finger,0.008,0.443,4
CA1968_130_15,Polymastia invaginata,0.008,0.443,3
CA1968_130_15,Rossella podagrosa,0.904,50.025,NA
CA1968_130_15,Volcano,0.289,15.992,2
CA1968_130_16,Basketball,0.047,2.112,1
CA1968_130_16,Bryozoa,0.17,7.638,NA
CA1968_130_16,Dendrilla antarctica,0.058,2.606,3
CA1968_130_16,Finger,0.054,2.426,17
CA1968_130_16,Isodictya erinacea,0.004,0.18,1
CA1968_130_16,Polymastia invaginata,0.027,1.213,4
CA1968_130_16,Rossella podagrosa,1.556,69.914,NA
CA1968_130_16,Spikey,0.021,0.944,4
CA1968_130_16,Volcano,0.151,6.785,1
CA1968_130_17,Basketball,0.057,2.305,1
CA1968_130_17,Finger,0.122,4.933,19
CA1968_130_17,Polymastia invaginata,0.031,1.253,4
CA1968_130_17,Rossella podagrosa,0.94,38.009,NA
CA1968_130_17,Volcano,0.365,14.759,1
CA1968_140_01,Bryozoa,0.205,9.279,NA
CA1968_140_01,Finger,0.008,0.362,14
CA1968_140_01,Polymastia invaginata,0.072,3.259,4
CA1968_140_01,Rossella podagrosa,0.309,13.987,NA
CA1968_140_01,Spikey,0.062,2.806,3
CA1968_140_01,Staghorn,0.071,3.214,1
CA1968_140_02,Basketball,0.078,4.484,2
CA1968_140_02,Bryozoa,0.084,4.829,NA
CA1968_140_02,Finger,0.007,0.402,3
CA1968_140_02,Polymastia invaginata,0.06,3.449,9
CA1968_140_02,Rossella podagrosa,0.191,10.98,NA
CA1968_140_02,Sphaerotylus antarcticus,0.032,1.84,2
CA1968_140_02,Spikey,0.06,3.449,3
CA1968_140_02,Volcano,0.185,10.635,1
CA1968_140_03,Basketball,0.075,6.144,3
CA1968_140_03,Polymastia invaginata,0.042,3.441,5
CA1968_140_03,Rossella podagrosa,0.159,13.025,NA
CA1968_140_03,Spikey,0.034,2.785,4
CA1968_140_04,Basketball,0.244,10.037,4
CA1968_140_04,Bryozoa,0.24,9.872,NA
CA1968_140_04,Finger,0.029,1.193,8
CA1968_140_04,Mycale acerata,0.191,7.857,1
CA1968_140_04,Polymastia invaginata,0.059,2.427,6
CA1968_140_04,Rossella podagrosa,0.632,25.996,NA
CA1968_140_04,Spikey,0.017,0.699,2
CA1968_140_05,Basketball,0.06,3.37,2
CA1968_140_05,Bryozoa,0.16,8.986,NA
CA1968_140_05,Leucascus leptoraphis,0.017,0.955,1
CA1968_140_05,Polymastia invaginata,0.038,2.134,3
CA1968_140_05,Rossella podagrosa,0.232,13.029,NA
CA1968_140_05,Spikey,0.045,2.527,2
CA1968_140_06,Basketball,0.071,5.062,2
CA1968_140_06,Bryozoa,0.245,17.468,NA
CA1968_140_06,Polymastia invaginata,0.015,1.069,2
CA1968_140_06,Rossella podagrosa,0.8,57.037,NA
CA1968_140_06,Spikey,0.049,3.494,2
CA1968_140_07,Basketball,0.026,2.595,5
CA1968_140_07,Bryozoa,0.192,19.166,NA
CA1968_140_07,Fan,0.012,1.198,1
CA1968_140_07,Microxina sp,0.008,0.799,1
CA1968_140_07,Polymastia invaginata,0.033,3.294,4
CA1968_140_07,Rossella podagrosa,0.351,35.037,NA
CA1968_140_07,Spikey,0.037,3.693,4
CA1968_140_07,Staghorn,0.024,2.396,1
CA1968_140_08,Basketball,0.068,4.073,3
CA1968_140_08,Bryozoa,0.106,6.349,NA
CA1968_140_08,Fan,0.019,1.138,1
CA1968_140_08,Polymastia invaginata,0.046,2.755,4
CA1968_140_08,Rossella podagrosa,0.518,31.027,NA
CA1968_140_08,Spikey,0.034,2.037,3
CA1968_140_09,Basketball,0.145,6.78,8
CA1968_140_09,Bryozoa,0.097,4.536,NA
CA1968_140_09,Rossella podagrosa,0.128,5.986,NA
CA1968_140_09,Spikey,0.068,3.18,4
CA1968_140_09,Staghorn,0.062,2.899,1
CA1968_140_10,Basketball,0.1,4.564,3
CA1968_140_10,Bryozoa,0.012,0.548,NA
CA1968_140_10,Finger,0.003,0.137,2
CA1968_140_10,Isodictya erinacea,0.009,0.411,1
CA1968_140_10,Polymastia invaginata,0.086,3.925,4
CA1968_140_10,Rossella podagrosa,0.57,26.014,NA
CA1968_140_10,Spikey,0.122,5.568,4
CA1968_140_11,Basketball,0.132,5.069,11
CA1968_140_11,Bryozoa,0.032,1.229,NA
CA1968_140_11,Finger,0.023,0.883,12
CA1968_140_11,Kirkpatrickia coulmani,0.014,0.538,1
CA1968_140_11,Polymastia invaginata,0.069,2.65,5
CA1968_140_11,Rossella podagrosa,0.286,10.983,NA
CA1968_140_11,Staghorn,0.015,0.576,1
CA1968_140_12,Basketball,0.012,0.705,1
CA1968_140_12,Bryozoa,0.006,0.352,NA
CA1968_140_12,Finger,0.015,0.881,11
CA1968_140_12,Leucascus leptoraphis,0.007,0.411,1
CA1968_140_12,Polymastia invaginata,0.055,3.229,4
CA1968_140_12,Rossella podagrosa,0.324,19.024,NA
CA1968_140_12,Spikey,0.011,0.646,3
CA1968_140_13,Basketball,0.134,3.546,6
CA1968_140_13,Bryozoa,0.103,2.726,NA
CA1968_140_13,Isodictya erinacea,0.037,0.979,1
CA1968_140_13,Pink Isodictya setifera,0.014,0.37,1
CA1968_140_13,Polymastia invaginata,0.074,1.958,1
CA1968_140_13,Rossella podagrosa,1.776,46.998,NA
CA1968_140_13,Volcano,0.702,18.577,2
CA1968_140_14,Basketball,0.225,9.353,4
CA1968_140_14,Bryozoa,0.291,12.097,NA
CA1968_140_14,Dendrilla antarctica,0.004,0.166,1
CA1968_140_14,Mycale acerata,0.064,2.66,1
CA1968_140_14,Rossella podagrosa,0.505,20.993,NA
CA1968_140_14,Spikey,0.036,1.497,5
CA1968_140_14,Volcano,0.305,12.679,1
CA1968_140_15,Basketball,0.134,5.41,8
CA1968_140_15,Bryozoa,0.705,28.463,NA
CA1968_140_15,Polymastia invaginata,0.112,4.522,6
CA1968_140_15,Rossella podagrosa,1.09,44.007,NA
CA1968_140_15,Sphaerotylus antarcticus,0.044,1.776,1
CA1968_140_15,Volcano,0.324,13.081,2
CA1968_140_16,Basketball,0.105,3.693,13
CA1968_140_16,Bryozoa,0.197,6.929,NA
CA1968_140_16,Finger,0.036,1.266,3
CA1968_140_16,Kirkpatrickia variolosa,0.03,1.055,1
CA1968_140_16,Polymastia invaginata,0.061,2.146,1
CA1968_140_16,Rossella podagrosa,1.336,46.993,NA
CA1968_140_16,Spikey,0.047,1.653,7
CA1968_140_16,Volcano,0.226,7.949,1
CA1968_140_17,Basketball,0.249,8.393,8
CA1968_140_17,Bryozoa,0.124,4.18,NA
CA1968_140_17,Finger,0.03,1.011,3
CA1968_140_17,Polymastia invaginata,0.094,3.169,5
CA1968_140_17,Rossella podagrosa,1.928,64.988,NA
CA1968_140_17,Sphaerotylus antarcticus,0.052,1.753,1
CA1968_140_17,Spikey,0.085,2.865,9
CA1968_140_18,Basketball,0.154,5.225,8
CA1968_140_18,Bryozoa,0.269,9.126,NA
CA1968_140_18,Isodictya erinacea,0.022,0.746,1
CA1968_140_18,Rossella podagrosa,0.943,31.993,NA
CA1968_140_18,Sphaerotylus antarcticus,0.034,1.154,3
CA1968_140_18,Staghorn,0.028,0.95,1
CA1968_140_18,Volcano,0.46,15.606,2
CA1968_140_19,Basketball,0.277,9.464,9
CA1968_140_19,Bryozoa,0.48,16.399,NA
CA1968_140_19,Finger,0.018,0.615,1
CA1968_140_19,Polymastia invaginata,0.064,2.187,4
CA1968_140_19,Rossella podagrosa,0.556,18.996,NA
CA1968_140_20,Basketball,0.273,10.04,11
CA1968_140_20,Mycale acerata,0.258,9.489,1
CA1968_140_20,Rossella podagrosa,1.849,68.003,NA
CA1968_140_20,Spikey,0.062,2.28,3
CA1968_140_20,Volcano,0.079,2.905,1
CA1968_140_21,Basketball,0.221,6.239,10
CA1968_140_21,Dendrilla antarctica,0.273,7.707,2
CA1968_140_21,Finger,0.029,0.819,2
CA1968_140_21,Leucascus leptoraphis,0.133,3.755,1
CA1968_140_21,Mycale acerata,0.37,10.446,1
CA1968_140_21,Rossella podagrosa,0.674,19.028,NA
CA1968_140_22,Basketball,0.181,5.815,11
CA1968_140_22,Bryozoa,0.55,17.67,NA
CA1968_140_22,Isodictya erinacea,0.018,0.578,1
CA1968_140_22,Rossella podagrosa,0.183,5.879,NA
CA1968_140_22,Spikey,0.029,0.932,3
CA1968_140_22,Volcano,0.348,11.18,2
CA1968_140_23,Basketball,0.111,4.251,4
CA1968_140_23,Bryozoa,0.597,22.865,NA
CA1968_140_23,Polymastia invaginata,0.029,1.111,3
CA1968_140_23,Rossella podagrosa,2.089,80.008,NA
CA1968_140_23,Spikey,0.087,3.332,7
CA1968_140_23,Volcano,0.198,7.583,1
CA1968_140_24,Basketball,0.078,3.522,6
CA1968_140_24,Bryozoa,0.173,7.811,NA
CA1968_140_24,Dendrilla antarctica,0.016,0.722,1
CA1968_140_24,Leucascus leptoraphis,0.052,2.348,2
CA1968_140_24,Mycale acerata,0.141,6.367,3
CA1968_140_24,Rossella podagrosa,1.838,82.991,NA
CA1968_140_24,Spikey,0.061,2.754,4
CA1968_140_25,Basketball,0.039,1.695,3
CA1968_140_25,Bryozoa,0.281,12.21,NA
CA1968_140_25,Finger,0.022,0.956,7
CA1968_140_25,Rossella podagrosa,2.117,91.991,NA
CA1968_140_25,Volcano,0.187,8.126,2
CA1968_140_26,Basketball,0.088,3.756,4
CA1968_140_26,Bryozoa,0.114,4.866,NA
CA1968_140_26,Finger,0.022,0.939,6
CA1968_140_26,Pink Hemigellius sp,0.226,9.646,1
CA1968_140_26,Rossella podagrosa,1.851,79.001,NA
CA1968_140_26,Volcano,0.11,4.695,1
CA1968_140_27,Basketball,0.114,5.084,4
CA1968_140_27,Finger,0.018,0.803,5
CA1968_140_27,Pink Hemigellius sp,0.063,2.81,1
CA1968_140_27,Polymastia invaginata,0.015,0.669,2
CA1968_140_27,Rossella podagrosa,0.809,36.079,NA
CA1968_140_27,Spikey,0.023,1.026,2
CA1968_140_27,Volcano,0.097,4.326,1
CA1968_140_28,Basketball,0.094,3.664,5
CA1968_140_28,Leucascus leptoraphis,0.018,0.702,1
CA1968_140_28,Rossella podagrosa,2.489,97.011,NA
CA1968_140_29,Basketball,0.344,15.783,12
CA1968_140_29,Mycale acerata,0.059,2.707,1
CA1968_140_29,Rossella podagrosa,1.787,81.988,NA
CA1968_140_29,Spikey,0.014,0.642,2
CA1968_140_30,Basketball,0.122,5.359,6
CA1968_140_30,Bryozoa,0.149,6.545,NA
CA1968_140_30,Leucascus leptoraphis,0.002,0.088,1
CA1968_140_30,Rossella podagrosa,1.571,69.012,NA
CA1968_140_30,Spikey,0.08,3.514,7
CA1968_140_31,Basketball,0.167,6.573,10
CA1968_140_31,Dendrilla antarctica,0.039,1.535,1
CA1968_140_31,Mycale acerata,0.63,24.797,1
CA1968_140_31,Polymastia invaginata,0.025,0.984,3
CA1968_140_31,Rossella podagrosa,1.042,41.014,NA
CA1968_140_32,Basketball,0.017,0.461,1
CA1968_140_32,Isodictya erinacea,0.007,0.19,1
CA1968_140_32,Rossella podagrosa,3.023,81.995,NA
CA1968_140_32,Spikey,0.067,1.817,4
CA1968_140_32,Volcano,0.46,12.477,2
CA1968_150_01,Bryozoa,0.38,24.376,NA
CA1968_150_01,Finger,0.06,3.849,11
CA1968_150_01,Isodictya erinacea,0.003,0.192,1
CA1968_150_01,Rossella podagrosa,0.577,37.013,NA
CA1968_150_01,Sphaerotylus antarcticus,0.036,2.309,4
CA1968_150_01,Spikey,0.09,5.773,5
CA1968_150_01,Volcano,0.082,5.26,1
CA1968_150_02,Basketball,0.062,2.769,3
CA1968_150_02,Bryozoa,0.119,5.314,NA
CA1968_150_02,Finger,0.007,0.313,2
CA1968_150_02,Mycale acerata,0.022,0.982,1
CA1968_150_02,Rossella podagrosa,0.941,42.024,NA
CA1968_150_02,Sphaerotylus antarcticus,0.48,21.436,11
CA1968_150_02,Spikey,0.072,3.215,6
CA1968_150_02,Staghorn,0.012,0.536,1
CA1968_150_03,Basketball,0.086,3.802,2
CA1968_150_03,Bryozoa,0.159,7.029,NA
CA1968_150_03,Dendrilla antarctica,0.038,1.68,1
CA1968_150_03,Finger,0.016,0.707,3
CA1968_150_03,Kirkpatrickia coulmani,0.024,1.061,1
CA1968_150_03,Leucascus leptoraphis,0.004,0.177,1
CA1968_150_03,Microxina sp,0.005,0.221,1
CA1968_150_03,Polymastia invaginata,0.034,1.503,3
CA1968_150_03,Rossella podagrosa,1.402,61.983,NA
CA1968_150_03,Sphaerotylus antarcticus,0.12,5.305,7
CA1968_150_03,Staghorn,0.007,0.309,1
CA1968_150_03,Volcano,0.109,4.819,1
CA1968_150_04,Basketball,0.12,3.411,2
CA1968_150_04,Dendrilla antarctica,0.075,2.132,1
CA1968_150_04,Pink Isodictya setifera,0.013,0.37,1
CA1968_150_04,Polymastia invaginata,0.073,2.075,5
CA1968_150_04,Rossella podagrosa,2.217,63.015,NA
CA1968_150_04,Staghorn,0.066,1.876,1
CA1968_150_04,Volcano,0.223,6.338,1
CA1968_150_05,Basketball,0.143,6.441,6
CA1968_150_05,Bryozoa,0.322,14.503,NA
CA1968_150_05,Finger,0.042,1.892,9
CA1968_150_05,Polymastia invaginata,0.022,0.991,3
CA1968_150_05,Rossella podagrosa,0.19,8.557,NA
CA1968_150_05,Sphaerotylus antarcticus,0.014,0.631,3
CA1968_150_05,Spikey,0.032,1.441,3
CA1968_150_05,Staghorn,0.032,1.441,1
CA1968_150_05,Volcano,0.097,4.369,1
CA1968_150_06,Basketball,0.013,0.614,2
CA1968_150_06,Bryozoa,0.212,10.008,NA
CA1968_150_06,Leucascus leptoraphis,0.002,0.094,1
CA1968_150_06,Polymastia invaginata,0.006,0.283,2
CA1968_150_06,Rossella podagrosa,0.805,38,NA
CA1968_150_06,Sphaerotylus antarcticus,0.007,0.33,2
CA1968_150_06,Spikey,0.053,2.502,6
CA1968_150_06,Volcano,0.201,9.488,1
CA1968_150_07,Basketball,0.036,1.794,2
CA1968_150_07,Bryozoa,0.461,22.967,NA
CA1968_150_07,Finger,0.004,0.199,1
CA1968_150_07,Isodictya erinacea,0.003,0.149,1
CA1968_150_07,Polymastia invaginata,0.071,3.537,5
CA1968_150_07,Rossella podagrosa,1.064,53.009,NA
CA1968_150_07,Sphaerotylus antarcticus,0.134,6.676,8
CA1968_150_07,Spikey,0.097,4.833,4
CA1968_150_08,Basketball,0.059,2.734,3
CA1968_150_08,Bryozoa,0.148,6.859,NA
CA1968_150_08,Finger,0.029,1.344,5
CA1968_150_08,Rossella podagrosa,1.575,72.988,NA
CA1968_150_08,Sphaerotylus antarcticus,0.035,1.622,2
CA1968_150_08,Spikey,0.047,2.178,2
CA1968_150_08,Staghorn,0.014,0.649,2
CA1968_150_08,Volcano,0.089,4.124,1
CA1968_150_09,Basketball,0.089,4.192,4
CA1968_150_09,Bryozoa,0.069,3.25,NA
CA1968_150_09,Finger,0.006,0.283,1
CA1968_150_09,Kirkpatrickia coulmani,0.002,0.094,1
CA1968_150_09,Kirkpatrickia variolosa,0.012,0.565,1
CA1968_150_09,Leucascus leptoraphis,0.015,0.707,1
CA1968_150_09,Pink Hemigellius sp,0.015,0.707,1
CA1968_150_09,Rossella podagrosa,1.019,48,NA
CA1968_150_09,Spikey,0.068,3.203,10
CA1968_150_10,Basketball,0.1,3.295,3
CA1968_150_10,Bryozoa,0.049,1.615,NA
